Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-09 15:00:00+08:00,26278.830078125,26300.130859375,26265.419921875,26292.55078125,26292.55078125,0,CDLHARAMI_Bull,1.0,Buy
2021-08-09 15:05:00+08:00,26294.490234375,26296.01953125,26277.9609375,26285.75,26285.75,0,NO_PATTERN,0.0,None
2021-08-09 15:10:00+08:00,26281.919921875,26282.80078125,26235.0,26241.689453125,26241.689453125,0,CDLBELTHOLD_Bear,2.0,Sell
2021-08-09 15:15:00+08:00,26239.2109375,26246.369140625,26229.060546875,26242.2890625,26242.2890625,0,CDLRICKSHAWMAN_Bull,4.0,Buy
2021-08-09 15:20:00+08:00,26241.33984375,26273.25,26236.970703125,26263.720703125,26263.720703125,0,NO_PATTERN,0.0,None
2021-08-09 15:25:00+08:00,26263.33984375,26271.4296875,26253.259765625,26265.44921875,26265.44921875,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-09 15:30:00+08:00,26264.630859375,26288.19921875,26254.98046875,26276.380859375,26276.380859375,0,CDLHIKKAKE_Bear,1.0,Sell
2021-08-09 15:35:00+08:00,26275.9296875,26284.029296875,26253.400390625,26260.0,26260.0,0,NO_PATTERN,0.0,None
2021-08-09 15:40:00+08:00,26258.4296875,26274.80078125,26239.41015625,26274.80078125,26274.80078125,0,CDLHAMMER_Bull,1.0,Buy
2021-08-09 15:45:00+08:00,26274.26953125,26274.26953125,26238.5703125,26241.83984375,26241.83984375,0,CDLBELTHOLD_Bear,2.0,Sell
2021-08-09 15:50:00+08:00,26241.58984375,26253.76953125,26229.580078125,26243.150390625,26243.150390625,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-09 15:55:00+08:00,26245.529296875,26278.16015625,26243.470703125,26275.640625,26275.640625,0,CDLBELTHOLD_Bull,3.0,Buy
2021-08-09 16:00:00+08:00,26275.640625,26275.640625,26275.640625,26275.640625,26275.640625,0,CDLDOJI_Bull,1.0,Buy
2021-08-09 16:05:00+08:00,26275.640625,26283.400390625,26275.640625,26283.400390625,26283.400390625,0,NO_PATTERN,0.0,None
2021-08-10 09:30:00+08:00,26456.609375,26475.369140625,26321.640625,26333.169921875,26333.169921875,0,NO_PATTERN,0.0,None
2021-08-10 09:35:00+08:00,26324.330078125,26351.529296875,26301.689453125,26324.169921875,26324.169921875,0,CDLRICKSHAWMAN_Bull,6.0,Buy
